context_x,context_y
Because turning welfare recipients into tax payers just makes sense.,sense%1:09:04::
"We give them a chance to realize their own potential by giving them a place where they can develop a sense of competence, of usefulness, a sense of belonging and of influence.",sense%1:09:05::
"Suddenly it stopped, and I had the sense I was very, very high up.",sense%1:09:05::
That makes sense.,sense%1:09:04::
"Nice to see you haven’t lost your wonderful sense of humor,” she said, “but stop trying to change the subject.",sense%1:09:05::
I remember the overpowering sense of loneliness and sadness and grief.,sense%1:09:05::
"But then I think, it does make sense because she’d never like that,” he was really picking up the pace now, “She’s not the type that goes around fluanting what she’s got and taking advantage, which makes you even perfecter.",sense%1:09:04::
"Yeah, I remember Sambito from the Astros (when the Braves were in the old NL West because it made sense to have a team 3,000 miles from most of their division rivals).",sense%1:09:04::
"He certainly does not &quot;attribute it to a speech where it was not uttered&quot; and, as noted above, doing so twice would make no sense whatsoever if Moore was the mastermind deceiver that his critics claim he is.",sense%1:09:04::
This makes no sense.,sense%1:09:04::
By doing so they hope to inculcate among the Mayan peoples a renewed sense of pride which will in turn reverse the dogma of Spanish superiority.,sense%1:09:05::
"In anticipation, Jews in Palestine began laying the groundwork for a greater sense of national identity.",sense%1:09:05::
"By accepting my personal invitation, you’ll provide yourself and every member of your family with a fulfilling sense of proprietorship, and a steady flow of priceless enjoyment.",sense%1:09:05::
"But he was not without a sense of humor, and the situation as it now was forced upon him struck him as amusing.",sense%1:09:05::
The contrast struck Mr. Thorndike’s sense of humor full in the centre.,sense%1:09:05::
"As the two truants rolled up the avenue the spring sunshine warmed them, the sense of duties neglected added zest to their holiday, and young Mr. Andrews laughed aloud.",sense%1:09:05::
"This creates both a smooth transition to the second theme and a strong sense that a new section is beginning, a combination that is generally rather difficult to forge.",sense%1:09:05::
"The 14-hour flight took me from Monday morning in Sydney to Monday morning, again, in L.A. Crossing the date line messed up my sense of time enough without the added bonus of thinking I should be heading to bed just as the sun began to climb into the California sky.",sense%1:09:05::
"In the paper, &quot;self-control&quot; is used to mean a sense of willpower.",sense%1:09:05::
"Not only are we unable to prestate the configuration space of a biosphere and predict what will unfold, but we also cannot even translatein the sense of necessary and sucient conditionsfrom legal talk to normal intentional talk, let alone from legal talk of Henderson found guilty of murder to a physical talk about sound-wave forms monitored and masses at space-time lines as a description.",sense%1:09:05::
"It seems hard to ascribe purpose, in the sense of acting on its own behalf, to a stone or a chair and easy with respect to an alga.",sense%1:09:05::
"Now, five chapters later, it is hardly an independent deduction that autonomous agents are the proposed organization of matter, energy, and organization to which purposes can be ascribed in the sense of being able to act on their own behalf.",sense%1:09:05::
"In the absence of external guides, people selforganise to learn and make sense of their environments.",sense%1:09:05::
Do not try to make sense out of anything of this if you're not thinking like a...,sense%1:09:04::
There are many reasons why the new labeling requirement makes sense from all these perspectives.,sense%1:09:04::
"A new sense of identity enveloped Greek peoples throughout the Aegean, thus commencing a movement to expand Greece and unify the disparate Orthodox populations.",sense%1:09:05::
"From the mid-1940s to the mid-1960s, Las Vegas nurtured a growing sense that it was the “Entertainment Capital of the World. ”",sense%1:09:05::
"Now, there were two things here that made ridiculously small amounts of sense.",sense%1:09:04::
"The more I thought about it, the less sense the ship made.",sense%1:09:04::
"Times like that, running on less sleep than I should, alone because everyone else had had the sense to retire for the night, I had a tendency to get all meditative about the universe and my place in it.",sense%1:09:04::
Beijing’s announced policy of maintaining Hong Kong’s prosperity and stability makes sense.,sense%1:09:04::
"Dress Sense Employed by the human-development center of a larger corporation, a young woman trains employees in proper dress codes and etiquette.",sense%1:09:04::
"Dress Sense Employed by the human-development center of a larger corporation, a young woman trains employees in proper dress codes and etiquette.",sense%1:09:05::
"What I love most about you,&quot; responded the wife, &quot;Is your enormous sense of humor.",sense%1:09:05::
"You and I have never been on particularly good terms, and I regret not burying that hatchet while you were still alive, but at the same time, I can't help but think that your passing adds a sense of closure to twelve years of horror.",sense%1:09:05::
My sense is for a simpler system.,sense%1:09:05::
My sense is for a simpler system.,sense%1:09:04::
 simply does not make any sense. The,sense%1:09:04::
e limits make no sense under the reasoning the Government has offered. The,sense%1:09:04::
" we offer a simple way to make this clear, express limit make sense, and that is precisely the understanding we suggest that existed in 1790. The",sense%1:09:04::
I don't think this is making sense and I can't find the words.,sense%1:09:04::
"The APA has scheduled 30 minutes at its meeting in August for an RxP debate, but its leadership believes it already has an accurate sense of support for its RxP policy.",sense%1:09:05::
"As the name suggests, local leaders wanted to instill the people of Youngstown with a fierce sense of urgency, driving them forward to confront steel companies and owners and help secure the future of the region.",sense%1:09:05::
JACK SPARROW: You're not making any sense at all.,sense%1:09:04::
"Except for a sense of honor, and decency and-and a moral center.",sense%1:09:05::
"Many examples, if anyone wants a sense of the variation in acoustic volume from this factor.",sense%1:09:05::
"This sense of technique carried over to English, and the original meaning of style was those features of literary composition that belonged to the form rather than to the substance of the matter being expressed.",sense%1:09:05::
"All three entrants shared a sense of what was beautiful and what was appropriate, and all were concerned with conveying the same message of permanence, dignity, and of culture rooted in the past.",sense%1:09:05::
"8 The successful relationship of the details to each other, and to the building is governed by the architect’s sense of style.",sense%1:09:05::
"“The aesthetic understanding [of architecture],” writes Roger Scruton, “is inseparable from a sense of detail.”",sense%1:09:05::
The sense of being in a special place that is a three-dimensional expression of the architect’s imagination is one of the distinctive pleasures of architecture.,sense%1:09:05::
"To create a strong sense of place, the surroundings must be all of a piece; space, mass, shapes, and materials must reflect the same sensibility.",sense%1:09:05::
The sense of robustness is accentuated by occasional delicacy: the arched window incorporates scrolled brackets that support an elegant reverse ogee molding at the eaves.,sense%1:09:05::
"“I endeavor to design buildings that express a sense of belonging,” Jacobsen says, “buildings that reflect or abstract the nearby architecture and the traditions dictated by the climate and local materials.”",sense%1:09:05::
"They are serious about what they are doing, that is, their buildings exhibit a strong sense of conviction.",sense%1:09:05::
"Moreover, while their architecture is built with a great sense of style, it is never merely stylized.",sense%1:09:05::
"a: docs for obama, science teachers for edwards, manufacturers for clinton makes obvious sense, right?",sense%1:09:04::
Because it doesn't even make sense.,sense%1:09:04::
http://tr.im/iQEj X Japan I.V. Music Video Saw IV ¬´ Marketing Sense http://bit.ly/13Zj35 &quot;Why We Don't Condemn Our Pirates in Somalia&quot;\ FOX29 Candidates Debate For DA Position http://tinyurl.com/dfbyb2 I'm doing my Chardonnay :) How ya doing sweetie?,sense%1:09:05::
http://tr.im/iQEj X Japan I.V. Music Video Saw IV ¬´ Marketing Sense http://bit.ly/13Zj35 &quot;Why We Don't Condemn Our Pirates in Somalia&quot;\ FOX29 Candidates Debate For DA Position http://tinyurl.com/dfbyb2 I'm doing my Chardonnay :) How ya doing sweetie?,sense%1:09:04::
"Now, it made no sense at all.",sense%1:09:04::
"Apart from these words and lake , words and phrases directly associated with thoughts of water and reinforcing the sense of obsession include pool, springs, drainage hole, clay hole, flood, channel, water-courses, water-hole, rock-hole, drink, drinkable, running water, stream , and native well .",sense%1:09:05::
"Here is a commonsense style book, useful to those who have the education and common sense to be in doubt about questions of English usage.",sense%1:09:04::
"A sense of humor about a subject is born of a feeling of security about it, but security is the one characteristic often lacking among those who would use Current American Usage .",sense%1:09:05::
"&quot;There is finally some sort of sense in the market,&quot; she says.",sense%1:09:04::
"&quot;There is finally some sort of sense in the market,&quot; she says.",sense%1:09:05::
It makes sense out of things that can otherwise be addressed only through righteous but ignorant indignation.,sense%1:09:04::
"The policy was overly suspicious and vituperative, but it also cultivated a sense of common purpose and team loyalty.",sense%1:09:05::
"If you read Warren Buffett or Peter Lynch or John Burr Williams, you get a clear sense of the principles that guide their investing.",sense%1:09:05::
FDR could do this not just because of his sense of noblesse oblige but because he had policies to propose that would rein in the rich.,sense%1:09:05::
Probably the most distinct theme to emerge thus far among the leading challengers to quasi-incumbent Al Gore in the 2000 presidential race is that the material wealth of America in the 1990s has brought with it a sense of spiritual discontent.,sense%1:09:05::
"Reading it, you get a better sense of Bush as a character than from the tens of thousands of words lavished upon him by Texas Monthly and the Washington Post .",sense%1:09:05::
"Instinctively, the path Blair Witch trod does seem to make more sense.",sense%1:09:04::
"Another aspect of our future that he mentions, but fails to really investigate, is his criticism of &quot;groups&quot; (&quot;blacks,&quot; hippies, women, etc.) and his sense that a cultural fissure is appearing between young and old.",sense%1:09:05::
"There's a sense of excitement when the governor and first lady, as the Bush aides refer to them, emerge against a Reaganesque backdrop, the porch of a picturesque farmhouse belonging to Bob and Shirley Lester.",sense%1:09:05::
"A terrible sense of public relations, I certainly agree with you there, but blaming the Clinton spin machine for that insanely prurient report is something of a stretch.",sense%1:09:04::
"And while we might well ask ESPN, &quot;Wouldn't it make more sense to show three great international matches a week instead of six hours of SportsCenter reruns?,&quot; it costs ESPN nothing to run the SportsCenter reruns, while buying the rights to international matches--which are, in any case, mostly controlled by Murdoch--wouldn't necessarily come cheap.",sense%1:09:04::
"Mostly, I don't see that young people have any sense that things can be different, so the desire stays under the surface.",sense%1:09:05::
"Unfortunately, even as I write this down, it still doesn't really make sense.",sense%1:09:04::
"But more and more of these disengaged bits of audio expressionism are floating around us, daring us to make sense of them.",sense%1:09:04::
But something real has got to change before all this talk about a suddenly fragile economy will make any sense.,sense%1:09:04::
"It is also possible that my general grouchiness on the subject of the Internet has to do with the fact that I've expended a lot of energy these past few years claiming that the valuations of Internet stocks make no sense, and that, in general, what I've come to think of as the Internet stock market--people using the Internet to &quot;learn&quot; about Internet stocks, when they then trade via an Internet site--is insane.",sense%1:09:04::
"This flexible, realistic moral sense coexists with reassurances that the important moral categories are, in the end, stable.",sense%1:09:05::
"Chat rooms can create a sense of community, but communities have existed for as long as humanity itself.",sense%1:09:05::
"Also, the stories fail to establish any sense of context that would justify concerns over the differences in scores they report.",sense%1:09:05::
"In McCain's version of events, his obsession with his surrender starts to make sense: It was the moment he realized that he was beyond his own control.",sense%1:09:04::
"Although the Yukawa ads are startling, they make sense in the context of the Japanese veneration of what scholar Ivan Morris famously called &quot;the nobility of failure,&quot; as well as what Moore calls &quot;their emphasis on culpability and accountability.&quot;",sense%1:09:04::
"The following tier of headlines, &quot;Cultural Concierge/Land of the Pharoahs/Art in the age of the pyramids,&quot; communicates no sense of what this piece is actually about or why I need to read it now, as opposed to several thousand years ago.",sense%1:09:05::
"The emphasis on sidewalks and walkability, the traditional design of the houses, the smaller lots that give a sense of place to the streets, the back alleys that put the cars in the background, and the planning that gives equal importance to the individual houses and the common shared spaces.",sense%1:09:05::
Suddenly the events of the 1980s make sense; Reagan did them.,sense%1:09:04::
"Your theory, which is that the Soviet empire suffered from &quot;grave internal weakness&quot; and collapsed of its own weight, makes little sense to me.",sense%1:09:04::
"He deserves considerable credit, I think, for restoring a sense of possibility and optimism to American popular culture.",sense%1:09:05::
"Correspondingly, male consumers are being sold fickle and impossible images of their sexuality and their social honour: fickle because the clothes, face creams, and similar goods now change like women's hemlines, offering no stable sense of self, impossible ornaments because the Porsche and the $10 cigar lie in the realm of fantasy for most men struggling to make ends meet.",sense%1:09:05::
"In interviews I've done with female nurses and mental-health workers, for instance, I've found the same sense of craft, and the same feeling that the short-term cost-cutting of the medical business leaves them no room to realize their own inner potential.",sense%1:09:05::
"Thus the gnawing sense of being &quot;out of it&quot; that surfaces among the ordinary people Faludi interviewed, the fear of falling behind.",sense%1:09:05::
These men are excited about carving out a wider individuality in which they can develop and enjoy a more spacious and multifaceted sense of self.,sense%1:09:05::
"Here's the liberal common sense: &quot;[I]n other news, cops are being accused of savagery, priests of impropriety, and thousands of children are failing in the New York City schools.",sense%1:09:04::
"It was even implied that considering dialects to be linguistically equal was a &quot;pernicious threat to common sense, logic, science and our basic political freedoms.&quot;",sense%1:09:04::
"It would seem that the writers of such letters themselves lack common sense, or at least the ability to understand simple language.",sense%1:09:04::
I find that much of the time users have a very strong sense of what they like and dislike in language and are unwilling to let any so-called experts influence them.,sense%1:09:05::
"And what he has done right is something big and important: He has absolutely captured what Silicon Valley is like at this moment in history--how crazy it is, how the old rules have been turned upside down, how it is filled with the sense that anything is possible, and that everyone will soon be rich, if they aren't already.",sense%1:09:05::
What's your sense of Louis Freeh?,sense%1:09:05::
"Although Dr. Spritzer's reluctance to get enmeshed in Adele August's life is presented in both book and movie as entirely rational, given Adele's extreme neediness, both emotional and financial--Ann can't wait to be old enough to leave home--there is also the sense, in both the book and the movie, that Dr. Spritzer is a little bit of a jerk.",sense%1:09:05::
"I think it makes sense to ask whether people really like being told how obtuse they are, because even if the ads work on some level to inculcate a sense of superiority in the viewer--as in &quot;These idiots don't know what 7-cents-a-minute-every-day means, but I sure do!",sense%1:09:04::
"This book was also made possible by the rise of professionalism among African-Americans since the 1960s and the rise of a black middle class that has demanded more artifacts and objects, more &quot;education&quot; about its experience (more institutionalization of it, in other words, and more orthodoxy about its significance), that are all meant to reinforce its sense of identity, its psychological well-being, its sense of race mission, all important reasons for the existence of black studies, but all clearly anti-intellectual.",sense%1:09:05::
He has precisely no sense of humor.,sense%1:09:05::
The trouble with him and his self-police force is they have no sense of humor.,sense%1:09:05::
"At one point, West quotes Du Bois--with no sense of irony--to the effect that &quot;we must have honest men or we die.",sense%1:09:05::
"So-called public intellectuals like West, bell hooks, and, yes, Henry Louis Gates Jr. himself, seem to me both dishonest and selfish--they're in it for the money and the power as much as out of any sense of obligation or responsibility to the black community.",sense%1:09:05::
"Everything to this point had confirmed that sense: his softish stance on abortion, his attacks on the congressional right, his compassion rap.",sense%1:09:05::
"It is, perhaps, this sense of opportunism, and of blowing up ordinary jobs like creating a black reference book of this sort as if one were announcing the return of the monarchy to America, that makes you feel uneasy about many of the black public intellectuals.",sense%1:09:05::
"When you read one of his columns these days, or at least when I do, you get the sense that it's more about him than it is about it or them; the phrase &quot;nattering nabob of solipsism&quot; suddenly springs to mind.",sense%1:09:05::
With Bush one gets the sense that a lot of politics is personal.,sense%1:09:05::
But cooking is one of the few areas in which anthologizing actually makes sense.,sense%1:09:04::
"But by the end, the performance makes sense: It's as if she's scything her way home through a thicket of her own unmanageable emotions--and she gets there.",sense%1:09:04::
"But I think that McCain's less ambitious, piecemeal approach makes much more sense than Bradley's comprehensive one.",sense%1:09:04::
"You got a sense of how Bradley has recalibrated his approach in the first of the two events, a dull, 90-minute Nightline special that kept East Coast political junkies up until after 1 a.m. on Friday night.",sense%1:09:05::
"And when New Year's arrives and she experiences that brief sense of being overwhelmed by something she can't explain, she'll be tempted to dismiss it, as she does every year, as sentimental and superstitious.",sense%1:09:05::
"The experience gave Arrigan and Quinn a sense of higher purpose, and what else do you need to know?",sense%1:09:05::
We're so accustomed to spin that common sense sounds like treason.),sense%1:09:04::
But absent was about 80 percent of the sense of artificiality that characterized Gore's earlier performances.,sense%1:09:05::
"This is not freakin' synergy, in its old-fashioned sense or otherwise!",sense%1:09:04::
"But we would like, with some sense of rough justice, to create a system in which each increment of government force results in a greater decrement of private force, so that at the margin the sum of both is minimized.",sense%1:09:05::
They make a great deal of sense.,sense%1:09:04::
"See, this is the problem with reading yesterday's horoscope--it never makes any sense.",sense%1:09:04::
What is truly optimistic about the Net is the sense of ratios.,sense%1:09:05::
".. well, pretty much A. It's not so much that they're all saying the same thing--there are some substantive differences in their approaches to policy--as it is that the public has by now picked up the sense that those differences won't necessarily result in substantially different outcomes in the long run.",sense%1:09:05::
"It also appears to stir a sense of competition, if not competitive panic, among Bush's major contributors and fund-raisers.",sense%1:09:05::
"Listening to this wasn't enjoyable in any conventional sense, or in any sense for that matter.",sense%1:09:04::
But that makes sense for most people.,sense%1:09:04::
"In his speech, he says that his Vietnam-Watergate-era disillusionment gave way to a sense that by running for elected office he could help people.",sense%1:09:05::
"Men of presidential quality tend to be arrogant, with a sense of &quot;entitlement and lordly expectation&quot; (David Remnick, The New Yorker ). The best example of presidential bravura ever: When told of John F. Kennedy's womanizing, Lyndon Johnson responded, &quot;God damn it, I had more women by accident than he ever had by design!&quot;",sense%1:09:05::
"Not because discussing them in public might violate the rules but because making proffers public seldom makes tactical sense . In discussing Lewinsky's proffer, Ginsburg suggests that Lewinsky either has already lied or will do so in the future for the right deal.",sense%1:09:04::
It compares the Webzine Salon to legendary San Francisco columnist Herb Caen: The Web can't replicate the &quot;emphatically local&quot; sense of place that made Caen so popular.,sense%1:09:05::
The drug only makes sense for those already at high risk.,sense%1:09:04::
Goldstone finally decided a settlement didn't make fiscal sense and that he'll continue to manufacture cigarettes until tobacco itself is illegal.,sense%1:09:04::
His company decided it made better financial sense to keep the CEO on board and pay off all the complainants.,sense%1:09:04::
"The New Republic 's Margaret Talbot says Whitehead and other &quot;divorcephobes&quot; ignore America's history of liberal divorce laws, the economics of women in the workplace, and common sense: &quot;Parents who make each other's lives a snarling misery probably won't make their children's lives a bower of happiness.&quot;",sense%1:09:04::
"Bosworth, the biographer of Diane Arbus and Montgomery Clift, &quot;provides a vivid sense of upper-middle-class life in the early Cold War years, when prominent citizens suddenly turned their backs on colleagues such as Crum and called them Communist dupes,&quot; writes Kathy Deacon in the Village Voice . In the New York Times Book Review , Richard Lingeman says Bosworth &quot;tells her elegiac story in a tone that is admirably restrained, in prose that conveys strong feeling by understatement.&quot;",sense%1:09:05::
"&quot;[W]e have a book worthy of its subject--graceful, astonishingly well researched, yet imbued with a sense of flow that is rarely achieved at this level of scholarship,&quot; says Daphne Merkin in the New York Times Book Review . (See Sarah Kerr's review in Slate.)",sense%1:09:05::
"Critics revel in his elegant deflation of bunk theories, finding in his work &quot;qualities in increasingly short supply in academic circles: old-fashioned moral rigor and plain old common sense&quot; (Michiko Kakutani, the New York Times ). Some regret that Rosenbaum does not proffer his own theory clarifying the mysterious origins of Hitler's evil.",sense%1:09:04::
"Critics napalm the summer's second Earth-meets-asteroid movie, &quot;an assault on the eyes, the ears, the brain, common sense and the human desire to be entertained&quot; (Roger Ebert, the Chicago Sun-Times ). The Washington Post 's Stephen Hunter finds it &quot;so predictable it could have been written by a chimp.&quot;",sense%1:09:04::
"Detractors say the film lacks any real sense of narrative continuity and feels like &quot;bits and pieces of half a dozen coming-of-age films&quot; (Gleiberman, Entertainment Weekly ).",sense%1:09:05::
"There's a sense of something older in this space, but not of the past.",sense%1:09:05::
"He had a new sense of spirit, a Reagan/Kemp tax cut.",sense%1:09:05::
"If the class of canine brings a sense of nobility to the ad and product, this particular specimen is so well trained that it intensifies the image of controlled elegance, of comfort--an almost royal dog striding through a minimalist palace.",sense%1:09:05::
"Relieved of those constraints in Angel , Carter Eskew, who produced spots for the 1992 Clinton campaign, has sculpted a decidedly nonpolitical spot that evinces clearly his sense of relief at having to make only one powerful point.",sense%1:09:05::
Cow recruits the next generation of Nike wearers by building a bridge between young people's innate sense of play and the next stage--competition.,sense%1:09:05::
The spot makes sense either way.,sense%1:09:04::
"But the helmeted riders around the limousine, the fluttering flags atop it, the stoplights freezing oncoming traffic--all create an undeniable sense of moment.",sense%1:09:05::
The call for solidarity reaches beyond the issue at hand to tap a deeper sense of ethnic and cultural identification.,sense%1:09:05::
"Traditional scholars respond that, while the Bible may have a shaky sense of chronology, to dismiss the text entirely is irresponsible.",sense%1:09:05::
"The only poll that I've heard about that makes any sense, which may be the one the GOP is reading, is the ABC News survey (I think) saying that 69 percent of Americans would clear Clinton if he makes a clean breast of it.",sense%1:09:04::
"First, a critical question of interpretation: From my sense of her body language and tone, Monica was clearly checking to make sure the phone would not disturb the X-ray machine.",sense%1:09:05::
"The editors front the story as high as they can because they know there really was a loss here, of a combination of talent and a larger sense of purpose that is utterly absent from entertainment today.",sense%1:09:05::
I want to give the grand jurors a sense that they really are in the room with him.&quot;,sense%1:09:05::
"Republicans and Democrats commend Helms for his good sense, flexibility, and bipartisanship (?!)",sense%1:09:04::
"Crime, and a broad sense of civic disorder, probably had more to do with Dinkins' defeat than spending did.",sense%1:09:05::
"&quot;Roy gives us a richly pictorial sense of these characters' daily routines and habits,&quot; said Michiko Kakutani in the New York Times , &quot;and she delineates their emotional lives with insight and panache, revealing the fatal confluence of jealousy, cruelty and naivete that shapes their destinies forever.&quot;",sense%1:09:05::
"Eszterhas is reminiscent of Playboy 's Hugh Hefner: They share the same exaggerated sense of importance, the same pontificating humorlessness about their ridiculous jobs.",sense%1:09:05::
"The higher that cost, the larger the transaction has to be in order for it to make financial sense.",sense%1:09:04::
Put another way--micropayments make sense only when they match the fundamental economics of the product or service better than other ways of charging.,sense%1:09:04::
"It is possible for a very skillful writer to convey in plain English a sense of what serious economics is about, to hide the algebraic skeleton behind a more appealing facade.",sense%1:09:05::
"No, to make sense of the claim that savings are bad you must argue either that interest rates have no effect on spending (try telling that to the National Association of Homebuilders) or that potential savings are so high compared with investment opportunities that the Fed cannot bring the two in line even at a near-zero interest rate.",sense%1:09:04::
"Iam always grateful when influential pundits make such statements, especially in prominent places, for in so doing they protect us from the ever-present temptation to take people seriously simply because they are influential, to imagine that widely held views must actually make at least some sense.",sense%1:09:04::
"Anyone who claims to fully understand the economic disaster that has overtaken Asia proves, by that very certainty, that he . The truth is that we have never seen anything quite like this, and that everyone--from the country doctors at the International Monetary Fund and the Treasury Department who must prescribe economic medicine to those of us who have the luxury of irresponsibility--is groping frantically for models and metaphors to make sense of this thing.",sense%1:09:04::
"But if you subscribe to the &quot;Daily Me,&quot; this arrangement makes no sense, because every Me is different.",sense%1:09:04::
"Rich or powerful married men feel an extravagant sense of sexual entitlement, and many women feel like gratifying it.",sense%1:09:05::
Such differences in behavioral strategy do make Darwinian sense.&quot;,sense%1:09:04::
It isn't obvious to me how a baby would develop a robust sense of autonomy while being confined to a small cubicle with bars on the side and rendered powerless to influence its environment.,sense%1:09:05::
But a deeper reason for investigating bequests is that they reveal something about people's instinctive sense of justice.,sense%1:09:05::
"To make sense of that theory, you have to ask why dry cleaners would want to discriminate specifically against women, as opposed to, say, men.",sense%1:09:04::
That strategy makes sense only if men are more price-sensitive than women and hence more likely to walk away in the face of a high markup.,sense%1:09:04::
"But as long as we're dealing in stereotypes, you could argue equally well that women are more willing to do their own laundry--in which case women would be more likely to walk away from a high price, and it would make more sense to discriminate against men.",sense%1:09:04::
"One way to accomplish that is to pay FDA officials not in cash but in pharmaceutical company stock, which ought to introduce an appropriate sense of urgency to the drug approval process.",sense%1:09:05::
We need a more dynamic model to get a real sense of what's going on.,sense%1:09:05::
Perhaps NIDA and the pliant journalists should inject themselves with a big dose of common sense.,sense%1:09:04::
"Jeffrey Steingarten will be writing monthly on food (&quot;In the Soup&quot;), Anne Hollander on fashion (&quot;Clothes Sense&quot;), and Margaret Talbot on &quot;Men and Women.&quot;",sense%1:09:04::
But this pat explanation doesn't entirely make sense.,sense%1:09:04::
The first question Westin should have asked himself is whether it ever makes sense for a news organization like ABC to climb into bed with an advocacy organization like the partnership.,sense%1:09:04::
"If group preferences are wrong in principle, as these opponents maintain, none of their exceptions makes much sense.",sense%1:09:04::
"Does it make sense for each state to be deciding that question all over again--either agreeing, in which case the effort is redundant, or disagreeing, in which case the result is a toaster that is legal in Ohio but illegal in Kentucky?",sense%1:09:04::
a) No sense of proportionality.,sense%1:09:05::
b) Had good sense to leave the White House before corrupting himself.,sense%1:09:04::
"But, even if Clinton were to parcel the existing programs out to other departments without appreciably reducing their cost, it would still make political sense to dump DOE.",sense%1:09:04::
"This makes sense because some of these women will rise to the occasion, learn the work ethic, and become self-supporting.",sense%1:09:04::
"It would hardly make sense to hand out $1,000 payments to men for taking home a bunch of condoms, or to try to police their use.",sense%1:09:04::
The excesses of sexual-harassment regulations are popular targets for defenders of common sense because feminism remains a target for pundits on the right--and the concept of harassment remains controversial.,sense%1:09:04::
"With the advent of crack cocaine in the mid-1980s, the civic credos of &quot;getting tough&quot; and &quot;just saying no&quot; carried the weight of common sense and enjoyed sway in schools, print, and on the airwaves.",sense%1:09:04::
At worst they redirect investment capital from uses that make economic sense to those that don't.,sense%1:09:04::
"However, I am not so ignorant of the canons of journalism (and of common sense) that I would take a plausible fellow like Brian Arthur at face value without checking up on him.",sense%1:09:04::
There's only one problem with this: It makes no sense.,sense%1:09:04::
But it only makes sense to speak of low returns and low margins if you're making products to sell to others.,sense%1:09:04::
"Such seems to be the curious strategy of the world auto industry in the late 1990s, as it grapples with prices that are actually declining, demand that's stagnant, and production capacity that, against all good sense, just keeps getting bigger.",sense%1:09:04::
"When OPEC raised its prices far above its production costs, it made sense to develop fields that previously had been too expensive.",sense%1:09:04::
"If your reserves are infinite, though, it makes sense to worry less about price and more about maximizing output, since your source of cash is never going to dry up and force you into another line of business.",sense%1:09:04::
"If Viacom were using its Nickelodeon-induced expertise in appealing to the 9-year-olds market to sell children's books better, or taking what it's learned from MTV to make readers out of disgruntled teen-agers, the idea of synergy would make more sense.",sense%1:09:04::
"But while from a short-term dollars and cents angle reinstating the workers may make sense, throughout its struggle with the UAW, Caterpillar has made its decisions with one long-range goal in mind: consolidation of its control over the workplace.",sense%1:09:04::
"Daimler is going to have to be able to make and sell more Mercedes more cheaply because it has acquired Chrysler, and vice versa, for the deal to make sense.",sense%1:09:04::
"And with a $13 billion premium, the deal has to make an awful lot of sense.",sense%1:09:04::
"In evolutionary terms, this makes sense.",sense%1:09:04::
"The paper also quotes a second Wall Streeter saying, &quot;There is no sense of urgency like in 1987.",sense%1:09:05::
"He's represented not just by his homicide victims and his famous shot of The Critic (two grande dames in evening dress stepping out from their limo as a bag lady appraises their fashion sense), but by a 20-minute film, called Weegee's New York (1953), as well.",sense%1:09:04::
"The puzzling decision to relegate the painter of sun-drenched tablecloths and rainbow gardens to the underground makes some sense given the direction and drift of the show, the third MoMA retrospective of Bonnard's work since his death just shy of age 80 in 1947.",sense%1:09:04::
"In this regard, he argues, the American choice for a leveling democracy &quot;makes abundant sense.&quot;",sense%1:09:04::
But other suggestions make sense.,sense%1:09:04::
"To begin with, the purported contrast between the blinkered maxims of economic theory and the penetrating insights of Kuttner's common sense is a fraud.",sense%1:09:04::
"In his awkward novel, Rosen captures two awkward, important truths about anorexia: that its peculiar logic is not just tragic but comic, and that despite the fascination it holds for those who suffer from it, and for those who seek to make sense of it, anorexia is in fact quite boring.",sense%1:09:04::
His poetry makes little sense in conjunction with anyone else's.,sense%1:09:04::
"But it's also true that had she been wearing, in the name of Good Sense, elaborate running shoes--with their ridiculous thickness and multiform brightness--they would have struck the eye as equally attractive and equally absurd.",sense%1:09:04::
"The exhibition tells us that as a vessel of lasting sense or sacred truth, the written word may be losing ground, but that as a source of inarticulate comfort, it has gained much.",sense%1:09:04::
Some mechanism was needed to make sense of it all.,sense%1:09:04::
"(It makes sense that the London production was more successful than the American one, and that the director and two of these three actors in the film are English.",sense%1:09:04::
"My Anderson frenzy might make sense if I were, say, a compulsive gambler who'd pawned his fiancee's engagement ring to wager against Kentucky.",sense%1:09:04::
"Living it through, giving it order and style.And one had the sense of the late marriage as ofTwo bafflements inventing the sense they made Together.",sense%1:09:04::
"It's just common sense that same sex doesn't automatically mean no harassment, but the reporting on the decision makes it clear that the legalities have been murky.",sense%1:09:04::
